PSR,Edot,Bstar,P,Ecl,Lgamma,Ea,Ecb,E10,Gammas,E0,d,b
J0002+6216,1.5e+35,1.1e+12,115.4,2.70,9.1e+34,0.82,0.77,8.53,2.25,1.31,0.633,0.667
J0007+7303,4.5e+35,1.4e+13,315.9,4.97,1.0e+35,2.33,0.83,25.10,1.97,2.21,0.495,0.540
J0023+0923,1.2e+34,2.2e+8,3.1,2.59,3.1e+33,1.28,0.72,9.99,1.83,0.95,0.535,0.667
J0030+0451,3.4e+33,3.0e+8,4.9,2.42,7.6e+32,1.37,0.19,10.10,1.99,1.36,0.784,0.529
J0034−0534,2.4e+34,1.2e+8,1.9,3.66,4.4e+33,0.99,1.22,12.10,1.91,0.76,0.326,0.667
J0101−6422,8.4e+33,1.3e+8,2.6,2.53,1.6e+33,1.34,0.70,10.00,1.76,0.90,0.528,0.667
J0102+4839*,1.8e+34,2.5e+8,3.0,4.31,9.6e+33,1.70,1.55,17.40,1.91,1.38,0.410,0.667
J0106+4855,2.9e+34,2.5e+11,83.2,2.88,2.2e+34,2.37,0.85,14.70,1.69,1.58,0.672,0.667
J0205+6449,2.7e+37,4.8e+12,65.7,7.76,7.9e+34,L,3.75,L,2.35,0.86,0.167,0.667
J0218+4232,2.4e+35,5.7e+8,2.3,4.77,5.7e+34,0.33,1.81,11.20,2.18,0.82,0.262,0.667
J0248+4230,3.8e+34,2.8e+8,2.6,1.60,7.9e+32,1.80,0.35,8.46,1.74,1.45,1.140,0.667
J0248+6021,2.1e+35,4.7e+12,217.1,1.75,1.4e+34,0.77,0.40,5.83,2.28,1.11,0.871,0.667
J0251+2606,1.8e+34,1.9e+8,2.5,2.25,8.0e+32,1.57,0.58,9.94,1.82,1.24,0.736,0.667
J0312−0921,1.5e+34,3.6e+8,3.7,1.68,4.4e+32,1.53,0.38,7.97,1.71,1.15,0.933,0.667
J0340+4130,7.6e+33,2.0e+8,3.3,3.56,5.9e+33,2.91,1.17,19.10,1.62,1.66,0.562,0.667
J0357+3205,5.9e+33,3.2e+12,444.1,1.21,5.0e+33,0.87,0.23,4.68,2.28,1.10,1.260,0.667
J0437−4715,2.8e+33,3.8e+8,5.8,1.40,5.2e+31,0.70,0.29,4.65,1.90,0.61,0.732,0.667
J0514−4408,2.5e+33,1.1e+12,320.3,0.86,6.2e+32,0.60,0.14,3.04,2.04,0.62,1.200,0.667
J0533+6759,5.9e+33,3.2e+8,4.4,3.61,6.4e+33,2.29,1.19,17.10,1.72,1.42,0.500,0.667
J0534+2200,4.5e+38,5.1e+12,33.4,8.45,7.2e+35,0.09,3.35,17.80,2.32,1.59,0.237,0.610
J0540−6919,1.5e+38,6.6e+12,50.6,5.51,7.9e+36,0.02,2.24,8.93,2.50,1.56,0.348,0.667
J0605+3757,9.3e+33,1.5e+8,2.7,1.58,3.6e+31,1.95,0.34,8.78,1.67,1.51,1.190,0.667
J0610−2100,8.2e+32,9.2e+7,3.9,2.03,9.2e+33,1.34,0.50,8.52,1.81,1.06,0.731,0.667
J0613−0200,1.2e+34,2.2e+8,3.1,3.29,2.8e+33,1.16,1.04,11.70,1.92,0.97,0.424,0.667
J0614−3329,2.2e+34,3.2e+8,3.1,4.26,5.4e+33,2.51,0.04,26.70,1.82,1.83,0.536,0.369
J0621+2514,4.9e+34,3.5e+8,2.7,1.57,1.3e+33,2.69,0.32,10.30,1.61,2.14,1.580,0.667
J0631+0646,1.0e+35,8.5e+11,111.0,2.71,4.0e+34,2.65,0.77,14.90,1.85,2.26,0.907,0.667
J0631+1036,1.7e+35,7.4e+12,287.8,3.55,1.6e+34,2.00,1.16,16.00,1.85,1.54,0.536,0.667
J0633+0632,1.2e+35,6.6e+12,297.4,3.15,2.1e+34,1.43,0.97,12.30,2.04,1.53,0.602,0.667
J0633+1746,3.3e+34,2.2e+12,237.1,2.83,1.8e+34,1.65,0.98,12.10,2.01,1.67,0.701,0.696
J0659+1414,3.8e+34,6.2e+12,384.9,0.84,2.6e+32,0.16,0.13,1.55,2.46,0.32,0.799,0.667
J0729−1448,2.8e+35,7.2e+12,251.7,4.52,5.2e+33,0.07,1.67,7.81,2.68,2.02,0.505,0.667
J0740+6620,6.0e+33,1.4e+8,2.9,2.96,4.5e+32,1.88,0.89,13.40,1.80,1.40,0.604,0.667
J0742−2822,1.4e+35,2.3e+12,166.8,3.32,7.3e+33,0.95,1.05,10.90,2.06,1.08,0.453,0.667
J0751+1807,5.7e+33,2.0e+8,3.5,2.02,1.5e+33,2.31,0.50,11.40,1.62,1.64,0.983,0.667
J0835−4510,6.9e+36,4.5e+12,89.3,4.01,8.7e+34,1.19,0.34,15.00,2.24,1.91,0.572,0.493
J0908−4913,4.9e+35,1.7e+12,106.8,1.50,2.6e+33,0.60,0.32,4.57,2.64,1.25,1.100,0.667
J0931−1902,1.0e+33,1.5e+8,4.6,1.01,2.4e+33,1.89,0.12,5.77,1.78,1.75,2.720,0.667
J0940−5428,1.9e+36,2.3e+12,87.5,2.55,3.0e+32,1.23,0.71,9.74,2.08,1.39,0.699,0.667
J0952−0607,6.7e+34,1.1e+8,1.4,1.50,8.8e+33,1.83,0.32,8.20,1.67,1.42,1.200,0.667
J0955−6150,7.1e+34,2.3e+8,2.0,3.48,4.4e+33,0.84,1.13,10.90,2.11,1.10,0.438,0.667
J1016−5857,2.6e+36,4.0e+12,107.4,5.12,8.4e+34,0.79,2.01,15.50,2.31,2.02,0.445,0.667
J1019−5749,1.9e+35,2.4e+12,162.5,5.93,3.9e+35,0.60,2.50,16.70,2.37,2.29,0.419,0.667
J1023−5746,1.1e+37,8.8e+12,111.5,3.48,7.6e+34,0.62,1.13,9.73,2.70,2.56,0.768,0.667
J1024−0719*,4.6e+32,1.2e+8,5.2,2.61,7.7e+32,1.66,0.73,11.40,1.80,1.25,0.634,0.667
J1028−5819,8.3e+35,1.6e+12,91.4,4.28,5.9e+34,0.97,10−5,16.30,2.37,1.99,0.546,0.208
J1035−6720,7.5e+34,4.9e+8,2.9,2.25,4.8e+33,1.65,0.59,10.20,1.82,1.32,0.765,0.667
J1044−5737,8.0e+35,3.7e+12,139.0,3.58,4.9e+34,0.65,1.18,10.10,2.24,1.24,0.459,0.667
J1048+2339,7.8e+33,4.1e+8,4.7,4.58,2.3e+33,0.89,1.70,14.50,2.04,1.02,0.317,0.667
J1048−5832,2.0e+36,4.7e+12,123.7,4.15,1.9e+35,0.98,0.00,15.40,2.32,1.85,0.556,0.279
J1055−6028,1.2e+36,2.3e+12,99.7,3.97,3.4e+34,1.22,1.37,14.20,2.27,2.10,0.589,0.667
J1057−5226,3.0e+34,1.4e+12,197.1,1.52,3.1e+32,1.26,0.91,6.78,2.11,1.41,1.040,0.849
J1105−6107,2.5e+36,1.4e+12,63.2,3.66,1.6e+34,0.52,1.21,9.61,2.58,2.08,0.637,0.667
J1112−6103,4.5e+36,1.9e+12,65.0,5.89,5.3e+34,0.55,2.48,16.20,2.69,4.10,0.622,0.667
J1119−6127,2.3e+36,5.5e+13,408.0,9.67,3.7e+35,0.45,5.22,27.70,2.23,2.05,0.239,0.667
J1124−3653*,1.7e+34,1.6e+8,2.4,3.49,1.5e+33,1.96,1.13,15.50,1.78,1.34,0.497,0.667
J1124−5916,1.2e+37,1.4e+13,135.5,3.79,1.8e+35,0.36,1.28,8.97,2.26,0.95,0.364,0.667
J1125−5825,7.9e+34,5.8e+8,3.1,3.34,2.3e+33,3.02,1.06,18.60,1.77,2.29,0.743,0.667
J1125−6014,8.7e+33,1.4e+8,2.6,1.77,3.6e+32,1.87,0.41,9.22,2.05,1.96,1.260,0.667
J1137+7528,8.1e+33,1.2e+8,2.5,1.84,1.1e+33,3.20,0.41,12.60,1.62,2.54,1.510,0.667
J1151−6108,3.9e+35,1.4e+12,101.6,2.49,6.0e+33,1.39,0.68,10.10,2.12,1.63,0.794,0.667
J1207−5050,1.9e+33,2.2e+8,4.8,1.78,9.2e+32,1.75,0.41,8.93,1.85,1.54,1.070,0.667
J1221−0633,6.0e+34,2.0e+8,1.9,3.19,1.1e+33,1.48,0.99,12.70,1.87,1.16,0.495,0.667
J1227−4853,6.9e+34,1.6e+8,1.7,5.78,5.9e+33,0.66,2.41,16.60,2.19,1.45,0.317,0.667
J1231−1411,6.5e+33,2.3e+8,3.7,2.63,2.1e+33,1.94,0.22,13.20,1.87,1.67,0.805,0.526
J1253−5820,5.0e+33,9.9e+11,255.5,0.84,1.4e+33,0.51,0.13,2.75,2.72,0.89,1.570,0.667
J1302−3258,4.8e+33,2.1e+8,3.8,2.38,2.7e+33,2.54,0.64,13.40,1.56,1.61,0.826,0.667
J1311−3430,4.9e+34,3.1e+8,2.6,5.21,4.3e+34,0.84,0.90,16.60,2.15,1.32,0.358,0.539
J1312+0051,4.2e+33,2.5e+8,4.2,2.09,3.8e+33,1.46,0.52,9.10,1.90,1.30,0.815,0.667
J1341−6220,1.4e+36,9.4e+12,193.3,17.10,4.2e+35,L,12.30,L,2.40,3.16,0.180,0.667
J1357−6429,3.1e+36,1.0e+13,166.1,1.96,3.4e+34,0.35,0.48,4.57,2.46,0.88,0.671,0.667
J1400−1431,4.3e+32,4.2e+7,3.1,2.02,5.9e+31,1.43,0.50,8.77,1.79,1.12,0.761,0.667
J1410−6132,1.0e+37,1.7e+12,50.1,2.28,5.0e+35,0.75,0.60,7.10,2.82,2.22,1.070,0.667
J1413−6205,8.3e+35,2.4e+12,109.7,4.02,9.8e+34,1.54,0.02,19.00,2.28,2.50,0.635,0.339
J1418−6058,5.0e+36,5.8e+12,110.6,3.97,1.3e+35,1.00,1.37,13.10,2.74,3.63,0.851,0.667
J1420−6048,1.0e+37,3.2e+12,68.2,3.27,4.9e+35,0.73,1.03,9.69,2.52,2.04,0.704,0.667
J1429−5911,7.8e+35,2.5e+12,115.8,3.61,5.2e+34,0.54,1.19,9.60,2.27,1.19,0.445,0.667
J1431−4715,5.5e+34,2.0e+8,2.0,2.20,1.4e+33,0.44,0.57,5.52,2.35,0.90,0.605,0.667
J1446−4701,3.6e+34,2.0e+8,2.2,3.93,2.3e+33,1.38,1.35,14.80,1.98,1.31,0.434,0.667
J1455−3330,1.8e+33,5.8e+8,8.0,1.47,6.4e+31,1.47,0.31,7.17,2.41,1.98,1.530,0.667
J1459−6053,9.1e+35,2.2e+12,103.2,3.80,5.0e+34,0.37,1.28,9.03,2.32,1.14,0.411,0.667
J1509−5850,5.2e+35,1.2e+12,88.9,4.19,1.7e+35,1.22,1.49,14.90,2.20,1.89,0.520,0.667
J1513−2550,9.0e+34,2.9e+8,2.1,3.20,1.4e+34,1.05,0.99,11.00,2.00,1.05,0.462,0.667
J1514−4946,9.8e+33,2.7e+8,3.6,4.20,4.1e+33,2.55,1.49,20.50,1.74,1.59,0.463,0.667
J1531−5610,9.1e+35,1.5e+12,84.2,1.41,1.8e+34,1.09,0.29,5.89,2.46,1.59,1.390,0.667
J1536−4948,2.8e+34,3.4e+8,3.1,6.00,9.1e+33,2.07,1.39,27.90,2.04,2.30,0.418,0.562
J1543−5149,7.3e+34,2.4e+8,2.1,3.36,2.8e+33,0.64,1.07,9.52,2.36,1.48,0.552,0.667
J1544+4937,1.2e+34,1.1e+8,2.2,3.59,2.5e+33,2.16,1.18,16.70,1.83,1.64,0.553,0.667
J1552+5437,7.7e+33,1.1e+8,2.4,3.45,2.3e+33,1.71,1.11,14.50,1.83,1.26,0.483,0.667
J1555−2908,3.1e+35,3.8e+8,1.8,4.04,3.2e+34,0.32,1.41,9.26,2.52,1.74,0.512,0.667
J1600−3053,7.3e+33,2.4e+8,3.6,3.13,3.7e+33,2.74,0.96,16.90,1.64,1.72,0.654,0.667
J1614−2230,5.0e+33,1.5e+8,3.2,2.31,1.5e+33,2.26,0.61,12.30,1.62,1.50,0.811,0.667
J1614−5048,1.6e+36,1.4e+13,231.7,3.34,6.4e+34,0.97,1.06,11.00,2.61,2.67,0.825,0.667
J1625−0021,3.7e+34,3.3e+8,2.8,2.15,2.2e+33,2.06,0.55,11.10,1.76,1.63,0.917,0.667
J1630+3734,9.0e+33,2.2e+8,3.3,1.90,1.0e+33,1.80,0.45,9.46,1.76,1.42,0.951,0.667
J1640+2224,1.6e+33,8.6e+7,3.2,2.38,6.2e+32,2.09,0.64,12.00,1.84,1.76,0.877,0.667
J1648−4611,2.1e+35,2.7e+12,165.0,3.89,1.1e+35,2.48,1.33,18.90,2.04,2.61,0.697,0.667
J1653−0158,4.1e+33,5.4e+7,2.0,3.14,2.9e+33,0.83,0.97,9.83,2.00,0.83,0.402,0.667
J1658−5324,3.0e+34,2.2e+8,2.4,1.75,1.9e+33,0.82,0.40,5.95,2.10,0.93,0.780,0.667
J1702−4128,3.4e+35,4.2e+12,182.1,2.04,4.9e+34,0.87,0.50,6.93,2.84,2.23,1.200,0.667
J1705−1906,6.1e+33,1.5e+12,299.0,0.50,2.4e+32,0.88,0.06,2.79,1.54,0.73,2.320,0.667
J1709−4429,3.4e+36,4.2e+12,102.5,4.71,1.1e+36,1.34,0.20,19.50,2.20,2.08,0.509,0.431
J1713+0747,3.3e+33,2.6e+8,4.6,2.54,1.2e+33,2.13,0.70,12.70,1.72,1.52,0.744,0.667
J1718−3825,1.3e+36,1.3e+12,74.7,3.38,1.5e+35,0.56,1.08,9.13,2.55,1.93,0.654,0.667
J1730−2304,1.1e+33,4.6e+8,8.1,1.20,3.9e+32,0.63,0.23,3.95,2.89,1.38,1.470,0.667
J1730−3350,1.2e+36,4.6e+12,139.5,4.10,6.3e+34,0.07,1.44,6.85,2.80,2.20,0.590,0.667
J1731−4744,1.1e+34,1.6e+13,829.8,0.27,2.3e+32,0.37,0.02,1.17,2.68,0.47,3.170,0.667
J1732−3131,1.5e+35,3.2e+12,196.5,2.33,8.8e+33,2.02,0.08,12.60,2.24,2.54,1.130,0.470
J1732−5049,3.1e+33,3.4e+8,5.3,2.94,2.4e+33,1.34,0.88,11.40,2.00,1.33,0.588,0.667
J1739−3023,3.0e+35,1.5e+12,114.4,1.57,2.4e+34,1.18,0.34,6.62,2.62,1.97,1.430,0.667
J1740+1000,2.3e+35,2.5e+12,154.1,0.69,6.5e+32,0.33,0.10,1.87,3.07,0.74,1.690,0.667
J1741+1351,2.1e+34,4.4e+8,3.7,2.39,1.2e+33,1.90,0.64,11.50,1.75,1.42,0.753,0.667
J1741−2054,9.5e+33,3.6e+12,413.7,0.98,1.3e+33,0.86,0.56,4.32,2.37,1.17,1.380,0.858
J1744−1134,4.2e+33,2.3e+8,4.1,1.40,6.9e+32,1.02,0.29,5.66,1.99,1.01,1.020,0.667
J1745+1017,4.8e+33,1.0e+8,2.7,2.38,1.3e+33,1.80,0.64,11.10,1.83,1.47,0.773,0.667
J1747−2958,2.5e+36,3.3e+12,98.8,3.20,1.2e+35,0.53,0.99,8.47,2.93,2.93,0.914,0.667
J1747−4036,1.1e+35,2.0e+8,1.6,2.95,8.2e+34,0.82,0.88,9.25,2.14,1.10,0.517,0.667
J1801−2451,2.6e+36,5.4e+12,124.9,5.70,5.5e+34,0.70,2.36,16.80,2.32,2.08,0.408,0.667
J1805+0615,7.3e+34,2.6e+8,2.1,2.30,9.5e+33,2.05,0.61,11.60,1.81,1.67,0.872,0.667
J1809−2332,4.3e+35,3.0e+12,146.8,3.84,3.9e+34,1.24,0.01,15.70,2.30,2.11,0.626,0.338
J1810+1744*,4.0e+34,1.2e+8,1.7,3.62,1.6e+34,0.50,1.19,9.41,2.16,0.85,0.354,0.667
J1811−2405,2.9e+34,2.6e+8,2.7,9.37,5.5e+33,0.49,4.98,26.90,2.34,3.03,0.320,0.667
J1813−1246,6.2e+36,1.2e+12,48.1,3.32,2.1e+35,0.53,0.13,8.23,2.49,1.44,0.610,0.452
J1816+4510,5.1e+34,4.9e+8,3.2,3.32,2.4e+34,1.76,1.05,14.20,1.78,1.17,0.478,0.667
J1823−3021A,8.3e+35,5.8e+9,5.4,4.57,1.1e+35,1.84,1.70,19.00,1.89,1.43,0.397,0.667
J1824+1014,3.2e+33,2.0e+8,4.1,3.88,6.2e+33,2.16,1.33,17.80,1.84,1.64,0.512,0.667
J1824−2452A,2.2e+36,3.0e+9,3.1,3.13,8.1e+34,0.95,0.96,10.30,2.18,1.35,0.559,0.667
J1826−1256,3.6e+36,4.9e+12,110.2,3.67,1.2e+35,0.87,1.36,11.60,2.46,2.25,0.665,0.687
J1828−1101,1.6e+36,1.4e+12,72.1,5.54,1.3e+35,L,2.27,L,2.80,2.21,0.437,0.667
J1831−0952,1.1e+36,1.0e+12,67.3,0.95,8.8e+34,0.51,0.16,2.99,3.15,1.23,1.730,0.667
J1833−1034,3.4e+37,4.8e+12,61.9,7.70,1.8e+35,L,3.71,L,2.38,1.51,0.244,0.667
J1833−3840,1.1e+35,2.5e+8,1.9,2.24,7.3e+33,1.25,0.58,8.84,2.20,1.60,0.871,0.667
J1836+5925,1.1e+34,6.9e+11,173.3,2.51,6.7e+33,1.47,0.63,10.50,1.98,1.43,0.728,0.653
J1837−0604,2.0e+36,2.8e+12,96.3,8.82,7.5e+34,0.33,4.54,23.20,2.63,5.38,0.497,0.667
J1843−1113,5.9e+34,1.8e+8,1.8,3.25,4.3e+33,0.21,1.02,6.53,2.40,0.94,0.421,0.667
J1846+0919,3.4e+34,2.0e+12,225.6,2.50,1.0e+34,2.03,0.68,12.20,1.73,1.46,0.736,0.667
J1853−0004,2.1e+35,1.0e+12,101.4,2.56,1.7e+34,3.61,0.23,11.20,1.71,3.24,2.580,0.667
J1855−1436,9.3e+33,2.7e+8,3.6,5.89,1.6e+34,2.35,2.48,26.10,1.96,2.11,0.400,0.667
J1857+0143,4.5e+35,2.8e+12,139.8,1.40,2.9e+34,2.41,0.22,8.45,2.22,2.66,2.310,0.667
J1858−2216,1.1e+34,1.3e+8,2.4,1.97,1.2e+33,1.81,0.48,9.76,1.77,1.44,0.921,0.667
J1901−0125,6.5e+34,4.3e+8,2.8,3.67,1.3e+34,1.14,1.22,12.80,2.09,1.39,0.485,0.667
J1902−5105,6.6e+34,1.7e+8,1.7,4.05,7.6e+33,0.55,1.41,10.90,2.21,1.09,0.374,0.667
J1903−7051,6.5e+33,2.3e+8,3.6,2.52,5.5e+32,2.57,0.69,14.00,1.61,1.69,0.806,0.667
J1907+0602,2.8e+36,4.1e+12,106.6,4.01,2.0e+35,0.96,0.00,14.50,2.36,1.90,0.579,0.270
J1908+2105,3.2e+34,2.5e+8,2.6,5.21,4.0e+33,1.77,2.06,20.90,2.01,1.84,0.411,0.667
J1913+0904,1.6e+35,2.3e+12,163.2,2.25,2.1e+34,1.69,0.59,10.40,2.19,2.06,1.030,0.667
J1921+0137,4.9e+34,3.0e+8,2.5,4.38,3.3e+34,1.32,1.59,16.00,2.03,1.42,0.412,0.667
J1921+1929,7.7e+34,4.2e+8,2.6,2.67,2.5e+33,2.55,0.76,14.50,2.03,2.64,1.020,0.667
J1925+1720,9.5e+35,1.2e+12,75.7,1.87,2.9e+34,1.18,0.44,7.50,2.74,2.35,1.350,0.667
J1932+2220,7.5e+35,3.9e+12,144.5,2.61,7.3e+34,1.06,0.73,9.25,2.46,2.02,0.874,0.667
J1935+2025,4.7e+36,3.0e+12,80.1,1.81,5.5e+34,0.55,0.42,5.13,2.76,1.51,1.040,0.667
J1939+2134,1.1e+36,5.5e+8,1.6,3.27,3.0e+34,0.68,1.02,9.47,2.42,1.67,0.616,0.667
J1952+3252,3.7e+36,6.5e+11,39.5,3.91,1.6e+35,0.94,0.01,13.60,2.28,1.62,0.562,0.338
J1954+2836,1.1e+36,1.9e+12,92.7,4.20,4.9e+34,1.17,1.49,14.60,2.11,1.52,0.450,0.667
J1957+5033,5.3e+33,2.2e+12,374.8,1.17,5.8e+33,0.76,0.22,4.26,2.00,0.76,1.010,0.667
J1958+2846,3.4e+35,1.1e+13,290.4,2.98,4.8e+34,1.15,0.89,10.70,2.09,1.36,0.588,0.667
J1959+2048,1.1e+35,1.9e+8,1.6,2.08,3.7e+33,1.04,0.52,7.66,2.05,1.11,0.733,0.667
J2006+0148,1.3e+34,1.1e+8,2.2,4.24,2.2e+33,3.37,1.51,23.40,1.68,2.04,0.542,0.667
J2006+3102,2.2e+35,2.7e+12,163.7,3.13,4.6e+34,1.47,0.96,12.50,2.11,1.74,0.659,0.667
J2017+0603,1.3e+34,2.0e+8,2.9,3.57,8.3e+33,3.17,1.17,20.00,1.59,1.80,0.593,0.667
J2017−1614,7.8e+33,1.0e+8,2.3,4.20,1.6e+33,1.60,1.50,16.60,1.90,1.28,0.400,0.667
J2021+3651,3.4e+36,4.3e+12,103.7,3.45,1.9e+35,1.03,0.00,12.80,2.36,1.84,0.668,0.255
J2021+4026,1.2e+35,5.2e+12,265.3,2.82,4.4e+35,0.84,0.02,8.82,2.50,1.72,0.790,0.386
J2022+3842,3.0e+37,2.8e+12,48.6,2.56,3.2e+35,0.20,0.71,4.96,2.70,1.27,0.652,0.667
J2030+3641,3.2e+34,1.5e+12,200.1,2.01,2.4e+35,1.87,0.49,10.10,1.87,1.65,0.994,0.667
J2030+4415,2.2e+34,1.6e+12,227.1,1.59,2.7e+33,1.20,0.35,6.73,2.07,1.28,1.060,0.667
J2032+4127,1.5e+35,1.7e+12,143.2,4.15,3.0e+34,2.53,0.50,22.50,2.09,2.92,0.685,0.521
J2039−3616,9.5e+33,2.2e+8,3.3,2.46,1.3e+33,1.18,0.67,9.30,1.91,1.02,0.589,0.667
J2039−5617,2.4e+34,2.3e+8,2.7,4.99,6.0e+33,1.47,1.94,18.80,1.90,1.10,0.304,0.667
J2042+0246,4.7e+33,3.0e+8,4.5,1.10,2.9e+32,0.84,0.20,4.32,2.15,0.95,1.250,0.667
J2043+1711,1.2e+34,1.3e+8,2.4,3.95,6.6e+33,1.87,1.36,16.90,1.80,1.22,0.413,0.667
J2043+2740,5.6e+34,4.7e+11,96.1,1.42,2.4e+33,0.83,0.29,5.13,2.06,0.89,0.927,0.667
J2047+1053*,1.1e+34,4.1e+8,4.3,6.27,4.0e+33,2.75,2.72,29.50,1.83,1.77,0.333,0.667
J2051−0827,5.2e+33,3.2e+8,4.5,1.84,6.5e+32,2.33,0.43,10.70,1.65,1.76,1.130,0.667
J2055+2539,4.9e+33,1.5e+12,319.6,1.53,2.4e+33,1.21,0.30,6.61,2.06,1.28,1.110,0.654
J2115+5448,1.7e+35,6.0e+8,2.6,2.46,8.1e+33,3.06,0.67,15.10,1.73,2.42,1.050,0.667
J2124−3358,2.4e+33,2.6e+8,4.9,2.02,7.8e+32,1.95,0.50,10.30,1.49,1.12,0.766,0.667
J2208+4056,8.1e+32,2.5e+12,637.0,0.62,3.2e+32,0.32,0.09,1.73,2.97,0.65,1.720,0.667
J2214+3000,1.7e+34,2.7e+8,3.1,2.22,1.4e+33,1.76,0.57,10.50,1.62,1.09,0.681,0.667
J2215+5135,7.4e+34,4.0e+8,2.6,4.87,1.7e+34,1.45,1.87,18.20,1.94,1.22,0.334,0.667
J2229+6114,2.3e+37,2.7e+12,51.6,5.12,2.6e+35,0.76,0.01,16.70,2.31,1.67,0.436,0.308
J2234+0944,4.1e+33,1.8e+8,3.6,3.35,3.0e+33,1.87,1.07,14.70,1.80,1.33,0.516,0.667
J2238+5903,8.9e+35,5.4e+12,162.7,3.72,6.4e+34,0.67,1.25,10.70,2.26,1.35,0.469,0.667
J2240+5832,2.2e+35,2.0e+12,139.9,4.13,6.2e+34,1.14,1.46,14.30,2.24,1.94,0.537,0.667
J2241−5236,1.9e+34,1.4e+8,2.2,2.28,2.8e+33,1.90,0.60,11.10,1.98,1.86,0.945,0.667
J2256−1024,3.4e+34,2.1e+8,2.3,3.27,4.2e+33,1.41,1.03,12.70,1.84,1.02,0.443,0.667
J2302+4442,3.8e+33,3.6e+8,5.2,3.03,3.5e+33,2.48,2.08,14.40,1.85,2.05,0.718,0.853
J2310−0555,1.1e+34,1.5e+8,2.6,2.09,1.6e+33,1.74,0.52,9.95,1.65,1.16,0.753,0.667
J2317+1439,2.2e+33,1.2e+8,3.4,0.55,2.1e+32,1.58,0.03,3.52,1.18,1.37,5.450,0.667
J2339−0533,2.2e+34,2.6e+8,2.9,4.02,4.2e+33,2.40,1.40,19.10,1.61,1.09,0.377,0.667
